Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,P_UZA_SM_avg,P_UZA_P_avg,SA_SM_avg,SA_P_avg,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,Safety Ratio
0,0,0,489618,341105,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,479697,331705,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,482390,323638,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,54563,84331,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,53315,83616,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57098,99983,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,59092,94032,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57448,85091,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,55826,80854,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58731,59550,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58844,63811,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58385,61719,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,61341,67829,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,56921,58271,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57287,58812,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
