Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,M_CB,M_CR,M_DR,M_LR,M_MB,M_OTHER,M_VP,Safety Ratio
0,0,0,260576,636221,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,5078.0,22057306.0,0,0,0,0,0,1,0,0.0
0,6,2,10199419,7994465,52.0,24,1,3,1,2,0,17,0,0,1,51.0,50,0,0,32584.0,103283088.0,48546.0,48035440.0,1,0,0,0,0,0,0,0.07843584031600231
0,0,0,26644,671224,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28707973,41196754,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,24671.0,64019754.0,0,1,0,0,0,0,0,0.0
0,100,65,64407046,8674924,260.0,217,10,2,5,8,10,0,2,2,5,219.0,230,0,72,75865.0,201468911.0,125051.0,116102020.0,0,0,1,0,0,0,0,0.2561831511415692
7,81,62,55380078,348582398,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11010.0,40163978.0,0,0,0,0,0,1,0,0.27085552317206923
2,44,34,8498785,41373900,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,21975.0,64496091.0,0,0,0,1,0,0,0,0.9413110226932437
8,739,380,146209909,427386298,228.0,195,5,5,5,12,3,3,6,2,7,306.0,165,0,0,75729.0,201830491.0,120848.0,119366222.0,0,0,0,0,1,0,0,0.7708095899300506
0,0,0,382694,1573097,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,12,7,651817,4593732,7.0,1,0,0,0,1,0,0,0,0,0,8.0,1,0,0,9721.0,41891813.0,9222.0,27869423.0,0,0,0,0,0,1,0,2.914928576579009
1,10,6,501718,4334936,5.0,5,0,0,0,0,1,0,0,0,0,9.0,2,0,0,7832.0,23710948.0,3328.0,9021888.0,0,0,0,0,0,1,0,3.388357603275147
0,2,1,934083,8124973,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6537.0,10955025.0,0,0,0,0,0,1,0,0.32117060261240166
0,0,0,2668,153134,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,0,0,18950233,3129727,40.0,11,6,0,2,0,1,1,0,10,1,44.0,28,0,0,37796.0,118255916.0,58857.0,99308020.0,0,0,0,0,0,0,1,0.0
0,4,1,259399,624395,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,5078.0,22057306.0,0,0,0,0,0,1,0,1.9275324885600946
1,15,8,10086461,7992206,52.0,24,1,3,1,2,0,17,0,0,1,51.0,50,0,0,32584.0,103283088.0,48546.0,48035440.0,1,0,0,0,0,0,0,0.2379427234190466
0,0,0,22583,646814,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28280848,41647153,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,24671.0,64019754.0,0,1,0,0,0,0,0,0.0
0,111,77,62029546,8316963,260.0,216,10,2,5,8,10,0,2,2,5,219.0,230,0,71,75865.0,201468911.0,125051.0,116102020.0,0,0,1,0,0,0,0,0.3030813735119067
6,42,49,54472584,331255357,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11010.0,40163978.0,0,0,0,0,0,1,0,0.17807122937292638
